Gene,Gene signature,Description,PMID
GZMA,Effector cells,"CTL/NK cells recognize and kill infected or abberant target cells by two major pathways: either through introduction of a battery of proteases – called granzymes – to the target cell cytosol, or through TNF superfamily-dependent killing. Granzyme A promotes cell death by targeting the nucleus and also mediates the release of mature IL-1β.",20075940
GZMB,Effector cells,"CTL/NK cells recognize and kill infected or abberant target cells by two major pathways: either through introduction of a battery of proteases – called granzymes – to the target cell cytosol, or through TNF superfamily-dependent killing. On entry into the target cell cytosol, granzyme B promotes apoptosis through two main pathways, either through BID-dependent mitochondrial permeabilization or through direct caspase processing and activation.",20075940
GZMK,Effector cells,"As a member of the granzyme family, GZMK (previously known as tryptase-2) is implicated in one of the mechanisms used by cytotoxic T lymphocytes and NK cells to induce the apoptosis of tumor cells.",16166056
IFNG,Effector cells,"IFN-γ signaling in the tumor cell plays a role in enhancing tumor immunogenicity, promoting the infiltration of mononuclear cells into tumor tissue, and inhibiting tumor angiogenesis. The main cellular producers of IFN-γ are Type 1 CD8+ T cells, NK cells, and Th1 CD4+ T cells.",11594457
PRF1,Effector cells,Loss of perforin leads to a complete failure of effector cells to lyse targets in vitro.,20075940
TBX21,Effector cells,"T-bet is a hallmark transcription factor that is essential for differentiation and function of Th1 cells, CD8+ T cells, γδ T cells and NK cells.",23090288
ZAP70,Effector cells,ZAP-70 (ζ-associated protein of 70 kDa) is a tyrosine kinase of the Syk family that plays a critical role in triggering the signalling cascade in response to T-cell receptor stimulation. This signalling pathway leads to the activation of different effector enzymes that ultimately will activate different transcription factors enhancing gene expression in antigen-stimulated T- and NK-cells.,15685592
CDH5,Endothelium,"VE-cadherin is an adhesive protein, known to be expressed exclusively by endothelial cells, and belongs to the cadherin family of transmembrane proteins promoting homotypic cell-to-cell interaction.",11416160
CLEC14A,Endothelium,Tumor endothelial markers (TEMs) that are highly expressed in human tumor vasculature compared with vasculature in normal tissue hold clear therapeutic potential. We report that the C-type lectin CLEC14A is a novel TEM. Immunohistochemical and immunofluorescence staining of tissue arrays has shown that CLEC14A is strongly expressed in tumor vasculature when compared with vessels in normal tissue.,21706054
ENG,Endothelium,"Tumor vessels specifically express endoglin – CD105, a homodimeric surface component of transforming growth factor (TGF) beta-receptor. Endoglin is highly expressed by endothelial cells of intratumoral vessels but not by pre-existing blood vessels.",23303022
FLT1,Endothelium,"VEGF-A and its receptors VEGFR-1 and VEGFR-2 play major roles in physiological as well as pathological angiogenesis, including tumor angiogenesis. VEGF-A and its receptor system exist within vascular endothelial cells, contributing to endothelial functions.",22866201
KDR,Endothelium,"VEGF is a ligand for two VEGF receptors, VEGFR-1 (Flt-1) and VEGFR-2 (KDR/Flk-1), and the VEGF165 isoform for neuropilin-1. For KDR, vessel density correlated positively to MVD and Chalkley scores (p = 0.01 and 0.04, respectively).",19701853
MMRN1,Endothelium,"MMRN1, a member of the elastin microfibrillar interface protein (EMILIN)/multimerin family, has so far primarily been described as a component of secretory granules found in platelets and endothelial cells that may mediate cellular adhesion via integrin receptors.",25825478
MMRN2,Endothelium,"MMRN2, an endothelial specific member of the emilin family and component of the extracellular matrix, was recently found as an extracellular interacting protein for CLEC14A and MMRN2 and CLEC14A were both upregulated in tumour vasculature during tumour progression.",25745997
NOS3,Endothelium,"Endothelial NO synthase (eNOS) can modulate cancer-related events (angiogenesis, apoptosis, cell cycle, invasion, and metastasis).",17308075
VCAM1,Endothelium,"Endothelial cell activation is defined by the endothelial expression of cell-surface adhesion molecules, such as VCAM-1, ICAM-1, and endothelial leukocyte adhesion molecule (ELAM, also known as E-selectin).",23485580
VWF,Endothelium,"von Willebrand factor (vWF), a glycoprotein produced uniquely by endothelial cells and megakaryocytes, is routinely used to identify vessels in tissue sections. Our data support the measurement of vWF mRNA in tumors to detect activated endothelium or angiogenesis.",10629090
CCL11,Granulocyte traffic,"Since CCL11 enhances tissue recruitment of eosinophils, an increased concentration of CCL11 should attract more eosinophils and cause more severe eosinophilia in tissues where the concentration of CCL11 is high. Indeed, a study on eosinophilia in colorectal neoplastic lesions showed that tissue extracted from a tumor with a greater number of eosinophils was also highly chemotactic for eosinophils, which was thought to reflect chemokine concentrations in the tissue.",26657310
CCR3,Granulocyte traffic,"The biological effects of CCL11 are mediated via CC chemokine receptor 3 (CCR3), which is highly expressed on eosinophils and other cells. CCL11 and CCR3 have been shown to be key mediators in the accumulation of eosinophils and in the production of ﬁbrogenic cytokines.",27169545
CXCL1,Granulocyte traffic,"Our findings show that the CXCR2–CXCL1 axis is correlated with CD15+ neutrophil infiltration into both intra- and peri-tumoral regions, and represents an independent prognostic factor in HCC.",26503598
CXCL2,Granulocyte traffic,"The chemokine receptor CXCR2 and its ligands CXCL1, CXCL2 and CXCL5 play an important role in homing of tumor-associated neutrophils (TANs) into developing tumors.",24154944
CXCL5,Granulocyte traffic,"CXCL5 (epithelial neutrophil-activating peptide-78) is a member of a proangiogenic subgroup of the CXC-type chemokine family of small, secreted proteins. CXCL5 promotes HCC cell proliferation, invasion, and intratumoral neutrophil infiltration.",22711685
CXCL8,Granulocyte traffic,"Polymorphonuclear granulocyte (PMN) functions are modulated by a variety of cytokines and chemokines, and many of those factors have been implicated in tumor progression: CXCL8 (interleukin-8) promotes the tumor inﬁltration by PMNs and has been implicated in the modulation of the tumor microenvironment.",21190185
CXCR1,Granulocyte traffic,"Correspondingly, lower expression of CXCR1 and CXCR2 was detected for circulating neutrophils. Independently, or in association with other mechanisms, these observations may account for an impaired migration of neutrophils in breast cancer patients upon diagnosis.",24258454
CXCR2,Granulocyte traffic,"Our findings show that the CXCR2–CXCL1 axis is correlated with CD15+ neutrophil infiltration into both intra- and peri-tumoral regions, and represents an independent prognostic factor in HCC.",26503598
KITLG,Granulocyte traffic,Mast cell infiltration and activation in tumors were mainly mediated by tumor-derived stem cell factor (SCF) and its receptor c-Kit on mast cells. Low concentrations of SCF efficiently induced the chemotactic migration of mast cells.,18524989
ARG1,Immune Suppression by Myeloid Cells,"High levels of ARG1 expression by MDSCs can accelerate the depletion of L-arginine in the tumour microenvironment, which subsequently inhibits T-cell proliferation by causing low expression of T-cell receptors and thus suppression of the cell cycle in T cells.",24741628
CYBB,Immune Suppression by Myeloid Cells,"These suppressive cells had upregulated expression of gp91phox, an important component of the ROS-generating NADPH oxidase, and the inactivation of ROS was able to abolish the ability of this subset to inhibit T cell responsiveness.",23760662
IDO1,Immune Suppression by Myeloid Cells,"IDO, an intracellular enzyme, activates kynurenine pathway of tryptophan to suppress T-cell proliferation and activate the cellular stress response pathway via the kinase GCN2. Furthermore, tolerogenic kynurenine metabolites bind to aryl hydrocarbon receptor in T cells, resulting in inhibition of T cells-based anticancer immunity. In addition to macrophages, dendritic cells (DCs) and granulocytes, IDO has been found in immature myeloid-derived cells. IDO expression in MDSCs leads to a decreased IFN-γ release and CD3ζ-chain expression in T cells.",25063873
IL10,Immune Suppression by Myeloid Cells,MDSC also perturb tumor immunity by skewing it toward a tumor-promoting type 2 phenotype. They do this by producing the type 2 cytokine IL-10 and by down-regulating macrophage production of the type 1 cytokine IL-12.,19342621
IL4I1,Immune Suppression by Myeloid Cells,"IL4I1 is a secreted L-amino acid oxidase that mainly catabolizes L-phenylalanine to produce hydrogen peroxide, ammonia, and phenylpyruvate. In the past 10 years, IL4I1 has been shown to be expressed by tumor-associated macrophages (TAMs) of numerous cancer types and to regulate T-cell properties both in vitro and in vivo.",30048651
IL6,Immune Suppression by Myeloid Cells,"Here we demonstrated that circulating CD11b+CD14+HLA-DR− cells were significantly increased in esophageal SCC patients compared with healthy people, and this was associated with the clinical stage, treatment response and circulating IL-6 levels. IL-6 stimulated reactive oxygen species, arginase 1 and p-STAT3 in MDSCs.",25238263
PTGS2,Immune Suppression by Myeloid Cells,"In the present study, we report that the establishment of a positive feedback loop between prostaglandin E(2) (PGE(2)) and cyclooxygenase 2 (COX2), the key regulator of PGE(2) synthesis, represents the determining factor in redirecting the development of CD1a(+) DCs to CD14(+)CD33(+)CD34(+) monocytic MDSCs. The addition of PGE(2) to GM-CSF/IL-4-supplemented monocyte cultures is sufficient to induce the MDSC phenotype and cytotoxic T lymphocyte (CTL)-suppressive function. In accordance with the key role of PGE(2) in the physiologic induction of human MDSCs, the frequencies of CD11b(+)CD33(+) MDSCs in ovarian cancer are closely correlated with local PGE(2) production, whereas the cancer-promoted induction of MDSCs is strictly COX2 dependent. The disruption of COX2-PGE(2) feedback using COX2 inhibitors or EP2 and EP4 antagonists suppresses the production of MDSC-associated suppressive factors and the CTL-inhibitory function of fully developed MDSCs from cancer patients.",21972293
CMKLR1,M1 signature,"ChemR23, the receptor for chemerin and resolvin E1, is expressed and functional on M1 but not on M2 macrophages.",25637017
IL12A,M1 signature,"Classical or M1 macrophages are generally considered to be potent effector cells which kill tumor cells by producing nitric oxide and reactive oxygen. They also produce copious amounts of pro-inflammatory cytokines, such as IL-12, IL-23 and IFN-γ.",23089461
IL12B,M1 signature,"Classical or M1 macrophages are generally considered to be potent effector cells which kill tumor cells by producing nitric oxide and reactive oxygen. They also produce copious amounts of pro-inflammatory cytokines, such as IL-12, IL-23 and IFN-γ.",23089461
IL1B,M1 signature,"M1 macrophages are characterized by the production of pro-inflammatory cytokines like TNF-α, IL-1β, IL-6 and IL-12.",26253167
IL23A,M1 signature,"Classical or M1 macrophages are generally considered to be potent effector cells which kill tumor cells by producing nitric oxide and reactive oxygen. They also produce copious amounts of pro-inflammatory cytokines, such as IL-12, IL-23 and IFN-γ.",23089461
IRF5,M1 signature,We found that IRF5 was indeed a major factor in defining macrophage polarization: it had high expression in M1 macrophages and induced a characteristic gene-expression and cytokine-secretion profile and promoted robust TH1-TH17 responses.,21240265
NOS2,M1 signature,"The NO burst of the M1 macrophages is due to the increased expression of the NOS2 (also called inducible NOS) isoform, rather than to the rise in the NO synthesis of constitutively expressed NOS isoforms.",26089604
SOCS3,M1 signature,A key role for SOCS3 in M1 polarization is proposed.,25120543
TNF,M1 signature,"Inflammatory M1 macrophages produce many other pro-inflammatory cytokines like TNFα, IL-1, IL-6, IL-12, Type I IFN, CXCL1-3, CXCL-5, and CXCL8-10.",25506346
CCL2,Macrophage and DC traffic,"Macrophage infiltration into tumors is regulated by a number of cytokines and chemokines, in particular MCP-1. MCP-1 is a member of the C-C chemokine family and possesses chemotaxic activity for monocytes and T lymphocytes.",10955814
CCL7,Macrophage and DC traffic,"Furthermore, CCL7 is more abundant in metastatic tumor site than in the primary site, and is associated with macrophage infiltration in tumor.",25193015
CCL8,Macrophage and DC traffic,"CCL8, also designated as monocyte chemotactic protein 2 (MCP2), belongs to the CC chemokines. It is strongly induced by IFN-γ24 and is one of the most potent chemoattractants for mononuclear cells, including monocytes and T cells. Thus, CCL8 may contribute to the histiocyte-rich (and T-cell rich) composition of the microenvironment in THRLBCL.",19797726
CCR2,Macrophage and DC traffic,"Among these chemokines, MCP-1, which binds only CC chemokinereceptor 2 (CCR2), is one of the most potent macrophage-recruitment factors. MCP-1 is produced by a variety of cells including fibroblasts, endothelial cells, smooth muscle cells and monocytes/macrophages. Moreover, MCP-1 expression is associated with monocyte recruitment in human glioma, breast, ovarian and prostate carcinoma.",12397639
CSF1,Macrophage and DC traffic,"Colony stimulating factor-1 (CSF1) is a key cytokine involved in recruitment and activation of tissue macrophages, exerting these effects through binding to a high-affinity receptor tyrosine kinase, the cFMS/CSF1 receptor (CSF1R).",22039576
CSF1R,Macrophage and DC traffic,"Colony stimulating factor-1 (CSF1) is a key cytokine involved in recruitment and activation of tissue macrophages, exerting these effects through binding to a high-affinity receptor tyrosine kinase, the cFMS/CSF1 receptor (CSF1R).",22039576
XCL1,Macrophage and DC traffic,"With the recognition of cross-presenting DCs as the only cells bearing XCR1, this concept can be further refined. Thus, in the early innate response, XCL1 may ensure contact and thus exchange of information between activated NK cells and XCR1-bearing DCs. Later, in the adaptive phase and on reexposure, this cytokine functional unit is handed over to CD8+ T cells and thus ensures proper communication between cross-presenting DCs and CD8+ T cells, as also demonstrated experimentally.",20479115
XCR1,Macrophage and DC traffic,"With the recognition of cross-presenting DCs as the only cells bearing XCR1, this concept can be further refined. Thus, in the early innate response, XCL1 may ensure contact and thus exchange of information between activated NK cells and XCR1-bearing DCs. Later, in the adaptive phase and on reexposure, this cytokine functional unit is handed over to CD8+ T cells and thus ensures proper communication between cross-presenting DCs and CD8+ T cells, as also demonstrated experimentally.",20479115
COL11A1,Matrix,"Collagen XI is a minor collagen whose main physiologic function is to regulate the diameter of major collagen fibrils. Recent research has highlighted the importance of colXIα1 in many types of cancer, including its roles in metastasis, angiogenesis, and drug resistance, as well as its potential utility in screening tests and as a therapeutic target. High levels of colXIα1 overexpression have been reported in multiple expression profile studies examining differences between cancerous and normal tissue, and between beginning and advanced stage cancer. Its expression has been linked to poor progression-free and overall survival. The consistency of these data across cancer types is particularly striking, including colorectal, ovarian, breast, head and neck, lung, and brain cancers.",25511741
COL1A1,Matrix,"Type I collagen, found in most connective tissue and embryonic tissue, is an important member of the collagen family which is a key structural component of the extracellular matrix. Typically, type I collagen is composed of two chains of collagen type I alpha 1 (COL1A1) and one chain of collagen type I alpha 2 (COL1A2). Recently, similar to the expressions of other members of the collagen family which is believed to be involved in carcinogenesis, abnormal expression of COL1A1 and COL1A2 has been reported in several cancers.",27894325
COL1A2,Matrix,"Type I collagen, found in most connective tissue and embryonic tissue, is an important member of the collagen family which is a key structural component of the extracellular matrix. Typically, type I collagen is composed of two chains of collagen type I alpha 1 (COL1A1) and one chain of collagen type I alpha 2 (COL1A2). Recently, similar to the expressions of other members of the collagen family which is believed to be involved in carcinogenesis, abnormal expression of COL1A1 and COL1A2 has been reported in several cancers.",27894325
COL3A1,Matrix,"Collagen Type III Alpha 1 Chain (COL3A1), encodes the pro-alpha1 chains of type III collagen, a fibrillar collagen that is found in extensible connective tissues such as skin, lung, uterus, intestine and the vascular system, frequently in association with type I collagen. The family of collagen was also reported to play a critical role in tumor progression, migration and proliferation.",29050298
COL4A1,Matrix,"The heterotrimers formed by COL4A1 and COL4A2 presents in almost all the basement membranes, which are a specialized form of the extracellular matrix. Besides that the basement membranes can mediate tissue compartmentalization and transfer environmental signals to epithelial cells, it is also an important structural and functional component of blood vessels.",29512712
COL5A1,Matrix,"We found a marked increase both in the absolute amount of Type V collagen and in the ratio of Type V collagen to the other interstitial collagens in the desmoplastic stroma, compared with benign breast tissue.",6287844
ELN,Matrix,"The tissue is stiffer than normal, reflecting increased deposition and crosslinking of collagen and elastin. Mature elastin is a highly crosslinked structure containing the unique crosslinking amino acids, desmosine and isodesmosine.",23869612
FN1,Matrix,"FN is a major ECM constituent that binds to adhesion receptors on multiple cell types. FN supports cell–ECM interactions and is essential for wound healing, development, and maintaining tissue homeostasis. The expression of FN is elevated in many solid tumors, particularly PDA. Various cell types including cancer cells and endothelial cells can produce FN, although it is primarily secreted by fibroblasts.",26742464
LAMA3,Matrix,"Laminin-332, an extracellular matrix (ECM) component composed of LAMA3, LAMB3, and LAMC2 chains, is expressed by both tumor and stromal cells. Laminin-332 expression is increased in several types of tumors. During tumor progression, laminin-332 binds to integrin α6β4, specifically the β4 subunit, and signals through the PI3K and RAC1 pathways to promote the survival, invasion, and directional migration of tumor cells.",21224074
LAMB3,Matrix,"Laminin-332, an extracellular matrix (ECM) component composed of LAMA3, LAMB3, and LAMC2 chains, is expressed by both tumor and stromal cells. Laminin-332 expression is increased in several types of tumors. During tumor progression, laminin-332 binds to integrin α6β4, specifically the β4 subunit, and signals through the PI3K and RAC1 pathways to promote the survival, invasion, and directional migration of tumor cells.",21224075
LAMC2,Matrix,"Laminin-332, an extracellular matrix (ECM) component composed of LAMA3, LAMB3, and LAMC2 chains, is expressed by both tumor and stromal cells. Laminin-332 expression is increased in several types of tumors. During tumor progression, laminin-332 binds to integrin α6β4, specifically the β4 subunit, and signals through the PI3K and RAC1 pathways to promote the survival, invasion, and directional migration of tumor cells.",21224076
LGALS7,Matrix,"Members of the galectin family are recognized for their ability to bind β-galactosides via their carbohydrate recognition domain (CRD). Unlike other galectins, gal-7 is strictly expressed in epithelial cells. In fact, this galectin is generally considered to be a marker of epithelial differentiation. Gal-7 expression correlated with a significant difference in the overall survival of patients with ovarian serous cystadenocarcinoma.",25277199
LGALS9,Matrix,"Galectin-9 expression is frequently altered in cancer as compared to normal tissues. In addition, an increasing amount of evidence suggests that galectin-9 is involved in several aspects of tumor progression, including tumor cell adhesion and survival, galectin-9 expression is widely distributed in tissues involved in the immune system, i.e. spleen, thymus and peripheral blood lymphocytes, and in tissues of endodermal origin, i.e. liver, intestine, stomach and lung. immune escape and angiogenesis. Indeed, several groups have now shown that galectin-9 levels vary when comparing tumor tissue to normal tissue. A high or increased galectin-9 expression has only been reported in leukemia and colon cancer cell lines.",23648450
TNC,Matrix,"TN is an extracellular matrix glycoprotein with a unique six-armed macromolecular structure, which is known to be an essential factor for modulation of reciprocal interactions between the epithehium and mesenchyme during embryogenesis. A number of studies have demonstrated prominent TN expression in human cancers including those of brain, colon, liver, lung, uterus, skin, prostate, and mammary gland.",9816077
VTN,Matrix,"The human serum component vitronectin (VN), also termed serum spreading factor and complement S-protein, is a 75-kDa adhesive glycoprotein, which plays important roles in inflammation, cell adhesion, cell necrosis, and blood coagulation. As a major component or master organizer of extracellular matrix (ECM), VN has been found to regulate vascular endothelial growth factor (VEGF)-induced angiogenesis, a key step in tumor formation. Importantly, VN was reported to play a key role in the development and progression of solid tumors including breast cancer.",26753956
ADAMTS4,Matrix remodeling,ADAMTSs are a family of secreted proteinases that share the metalloproteinase domain with matrix metalloproteinases (MMPs). The results of this study support the notion that ADAMTS-4 and -5 are over-expressed in CRC possibly for tissue disruption that would facilitate cancer cell invasion and metastasis.,25786261
ADAMTS5,Matrix remodeling,ADAMTSs are a family of secreted proteinases that share the metalloproteinase domain with matrix metalloproteinases (MMPs). The results of this study support the notion that ADAMTS-4 and -5 are over-expressed in CRC possibly for tissue disruption that would facilitate cancer cell invasion and metastasis.,25786261
CA9,Matrix remodeling,"CA IX has been found overexpressed by cancer cells from many tumor types, being a component of the pH regulatory system exploited by these cells to counteract the harmful effects of an highly glycolytic metabolism.",23656776
LOX,Matrix remodeling,"Lysyl oxidase (LOX) has been reported to regulate tumor metastasis and has been found to involve in modification of extracellular matrix (ECM) in the context of tumorigenesis. LOX, an extracellular copper-dependent amine oxidase, catalyzes the exchange of an amine to aldehyde group on a peptidyl lysine, producing hydrogen peroxide (H2O2) and ammonia as by-products of catalytic activity. The function of LOX is the covalent cross-linking of collagens or elastin to increase ECM tensile strength.",25337249
MMP1,Matrix remodeling,MMP1 is the most highly expressed interstitial collagenase degrading fibrillar collagens. Overexpression of MMP1 has been shown in tumor tissues and has been suggested to be associated with tumor invasion and metastasis. MMP1 is up-regulated in a wide variety of advanced cancers and has been suggested to be associated with tumor invasion and metastasis. A significant negative correlation between its expression and cancer survival has been found.,18483334
MMP11,Matrix remodeling,"Stromelysin-3/matrix metalloproteinase 11 (ST3/MMP11) is associated with tumor invasion and poor prognosis. ST3 is a connective tissue–derived factor normally expressed in association with intense tissue remodeling during embryogenesis, tissue involution, wound healing, and metamorphosis. We present novel evidence that adipocytes present at human breast tumor invasive front are induced by cancer cells to express ST3.",16322233
MMP12,Matrix remodeling,"MMP12 could facilitate the initiation and progression of tumor invasion and metastasis through its ability to degrade a broad spectrum of ECM components including type IV collagen, fibronectin, laminin, vitronectin V, proteoglycans, chondrontin sulfate and myelin basic protein. However, data describing the role of MMP-12 in human malignancies is limited. MMP-12 expression has been found to be activated or enhanced by oncogenic proteins associated with tumor invasion and metastasis in hepatocellular cancer, gynecological cancer, prostate cancer, colorectal cancer, endometrial cancer, and glioma. In addition, MMP-12 has also been reported to regulate tumor angiogenesis, and may be required to activate the angiogenic switch that occurs during tumor neovascularization.",23280473
MMP2,Matrix remodeling,Increased expression of matrix metalloproteinase-2 (MMP-2) predicts tumour recurrence and unfavourable outcome in non-small cell lung cancer.,18366007
MMP3,Matrix remodeling,MMP3 may induce hyperplastic growth via its HPX domain even in the complete absence of the catalytic domain.,25661772
MMP7,Matrix remodeling,"Among these, matrix metalloproteinase-7 (MMP-7) (matrilysin) is the smallest (28 kDa) member of the MMP family. It has broad substrate specificity against ECM components, including elastin, type IV collagen, fibronectin, vitronectin, aggrecan, and proteoglycans. In addition, recent studies have also shown that MMP-7 is also involved in the regulation of several bioactive substances other than ECM. MMP-7 plays an important role in ectodomain shedding of cell-surface molecules, such as epidermal growth factor receptor (EGFR), heparin binding epidermal growth factor (HB-EGF), Fas ligand and E-cadherin. These studies demonstrated MMP-7 to have multiple biological functions, such as tumor invasion and metastasis.",17728005
MMP9,Matrix remodeling,"MMP9 is specifically required for invasion in cell culture and for pulmonary metastasis in a mouse orthotopic model of basal-like breast cancer. We also find that tumor cell-produced MMP-9 promotes tumor vascularization with only modest impact on primary tumor growth, and that silencing of MMP-9 expression in tumor cells leads to an altered transcriptional program consistent with reversion to a less malignant phenotype. MMP-9 is most highly expressed in human basal-like and triple negative tumors, where our data suggest that it contributes to metastatic progression.",24811362
PLOD2,Matrix remodeling,"PLOD2 is a hypoxia-induced gene and encodes an enzyme that induces hydroxylation of lysine residues on collagen intracellularly prior to the formation of triple helical procollagen molecules. In the analysis of pancreatic cancer specimens, stromal expression of PLOD2 was found in cancer tissue, not in normal tissue.",26805763
B2M,MHCI,Beta-2 microglobulin (B2M) is synthesized in all nucleated cells and forms the light chain subunit of the major histocompatibility complex (MHC) class I antigen.,25325033
HLA-A,MHCI,"HLA molecules present pathogen and tumour-derived peptides to T-cells thereby initiating the adaptive immune response. The classical HLA class I molecules, HLA-A, -B and -C, are heterodimers of a polymorphic α-polypeptide chain and β2-microglobulin, present endogenous peptides to cytotoxic CD8 positive T-cells (CD8+ T-cells), and are expressed by almost all somatic cells.",26189878
HLA-B,MHCI,"HLA molecules present pathogen and tumour-derived peptides to T-cells thereby initiating the adaptive immune response. The classical HLA class I molecules, HLA-A, -B and -C, are heterodimers of a polymorphic α-polypeptide chain and β2-microglobulin, present endogenous peptides to cytotoxic CD8 positive T-cells (CD8+ T-cells), and are expressed by almost all somatic cells.",26189878
HLA-C,MHCI,"HLA molecules present pathogen and tumour-derived peptides to T-cells thereby initiating the adaptive immune response. The classical HLA class I molecules, HLA-A, -B and -C, are heterodimers of a polymorphic α-polypeptide chain and β2-microglobulin, present endogenous peptides to cytotoxic CD8 positive T-cells (CD8+ T-cells), and are expressed by almost all somatic cells.",26189878
NLRC5,MHCI,"NLRC5 localizes to the nucleus of lymphocytes, where it promotes MHC class I gene expression via stimulation of the H-2D and H-2K gene promoters. MHC class I molecules have a critical role in tumor immune evasion and are associated with cancer prognosis; since, NLRC5 was reported to act as a MHC class I transactivator, it may therefore affect tumor patients' survival through regulating tumor immune evasion through MHC class I.",26622704
TAP1,MHCI,"TAP2 forms a heterodimer with TAP1 in order to transport peptides (ranging from ions to large proteins) from the cytoplasm to the endoplasmic reticulum, and is essential for loading of antigen on HLA class I protein on the cell surface.",22911334
TAP2,MHCI,"TAP2 (transporter 2, ATP-binding cassette, sub-family B) is a member of the multidrug resistance protein (MRP)/TAP subfamily of ATP-binding cassette (ABC) transporters, and is involved in both multidrug resistance and antigen presentation. TAP2 forms a heterodimer with TAP1 in order to transport peptides (ranging from ions to large proteins) from the cytoplasm to the endoplasmic reticulum, and is essential for loading of antigen on HLA class I protein on the cell surface.",22911334
TAPBP,MHCI,"We suggest therefore, that the 48 kDa species functions as a bridge connecting class I molecules and TAP, and propose that it be named tapasin, for TAP-associated glycoprotein. Based on these data and studies of the composition of TAP-associated class I complexes in wild-type cells, we suggest an assembly pathway for class I–peptide complexes that involves association with calreticulin, tapasin, and TAP prior to peptide loading.",8769474
CIITA,MHCII,"A functional CIITA gene is necessary for class II induction, and transfection of CIITA is sufficient to activate expression of MHC class II genes in class II-negative cells in the absence of IFN-gamma. CIITA is therefore a general regulator of both inducible and constitutive MHC class II expression.",8016643
HLA-DMA,MHCII,"HLA-DM is essential in the intracellular assembly of HLA class II-antigenic peptide complexes. It displaces CLIP from the antigen binding groove of HLA class II molecules, to make this groove accessible for loading of antigens. Lack of HLA-DM results in an apparently normal cell surface expression of HLA class II, but without presentation of antigens and neo-antigens.",28507804
HLA-DMB,MHCII,"HLA-DM is essential in the intracellular assembly of HLA class II-antigenic peptide complexes. It displaces CLIP from the antigen binding groove of HLA class II molecules, to make this groove accessible for loading of antigens. Lack of HLA-DM results in an apparently normal cell surface expression of HLA class II, but without presentation of antigens and neo-antigens.",28507804
HLA-DPA1,MHCII,"In contrast, the HLA class II molecules HLA-DR, -DQ and -DP are heterodimers of α and β-polypeptide chains, present endocytosed extracellular peptides to helper CD4 positive T-cells (CD4+T-cells), and are normally expressed only on antigen presenting cells. DQA1 and DQB1 genes encode the α- and β-chains of the HLA-DQ heterodimer and, similarly, DPA1 and DPB1 genes encode the respective chains of the DP heterodimer.",26189878
HLA-DPB1,MHCII,"In contrast, the HLA class II molecules HLA-DR, -DQ and -DP are heterodimers of α and β-polypeptide chains, present endocytosed extracellular peptides to helper CD4 positive T-cells (CD4+T-cells), and are normally expressed only on antigen presenting cells. DQA1 and DQB1 genes encode the α- and β-chains of the HLA-DQ heterodimer and, similarly, DPA1 and DPB1 genes encode the respective chains of the DP heterodimer.",26189878
HLA-DQA1,MHCII,"In contrast, the HLA class II molecules HLA-DR, -DQ and -DP are heterodimers of α and β-polypeptide chains, present endocytosed extracellular peptides to helper CD4 positive T-cells (CD4+T-cells), and are normally expressed only on antigen presenting cells. DQA1 and DQB1 genes encode the α- and β-chains of the HLA-DQ heterodimer and, similarly, DPA1 and DPB1 genes encode the respective chains of the DP heterodimer.",26189878
HLA-DQB1,MHCII,"In contrast, the HLA class II molecules HLA-DR, -DQ and -DP are heterodimers of α and β-polypeptide chains, present endocytosed extracellular peptides to helper CD4 positive T-cells (CD4+T-cells), and are normally expressed only on antigen presenting cells. DQA1 and DQB1 genes encode the α- and β-chains of the HLA-DQ heterodimer and, similarly, DPA1 and DPB1 genes encode the respective chains of the DP heterodimer.",26189878
HLA-DRA,MHCII,"In contrast, the HLA class II molecules HLA-DR, -DQ and -DP are heterodimers of α and β-polypeptide chains, present endocytosed extracellular peptides to helper CD4 positive T-cells (CD4+T-cells), and are normally expressed only on antigen presenting cells. All have a single DRA gene and a DRB1 gene but some haplotypes have an additional, functional DRB3, DRB4, or DRB5 gene.",26189878
HLA-DRB1,MHCII,"In contrast, the HLA class II molecules HLA-DR, -DQ and -DP are heterodimers of α and β-polypeptide chains, present endocytosed extracellular peptides to helper CD4 positive T-cells (CD4+T-cells), and are normally expressed only on antigen presenting cells. All have a single DRA gene and a DRB1 gene but some haplotypes have an additional, functional DRB3, DRB4, or DRB5 gene.",26189878
CCL15,Myeloid cells traffic,Loss of SMAD4 from colorectal cancer cells promotes CCL15 expression to recruit CCR1+ myeloid cells and facilitate liver metastasis.,23891973
CCL26,Myeloid cells traffic,We further found that hypoxia-inducible factors activate the transcription of chemokine (C-C motif) ligand 26 in cancer cells to recruit chemokine (C-X3-C motif) receptor 1-expressing MDSCs to the primary tumor.,27228567
CSF1,Myeloid cells traffic,"Macrophage colony-stimulating factor (M-CSF or CSF1) is a potent growth factor that promotes the differentiation, proliferation, and migration of monocytes/macrophages via signaling through its receptor tyrosine kinase CSF1R (cFMS). Our results highlight the importance of CSF1/CSF1R signaling in the recruitment of tumor-infiltrating myeloid cells which can limit the efficacy of radiotherapy.",23418320
